Purpose,Cameras,pixel,Latitude,Longitude
Life Security,1,200,37.50797,127.028573
Life Security,1,200,37.508284,127.030599
Life Security,1,200,37.507595,127.032601
Life Security,1,200,37.506134,127.027567
Life Security,1,200,37.506042,127.025989
Life Security,1,200,37.505121,127.024504
Child Protection,1,200,37.507973,127.025688
Life Security,1,200,37.508515,127.024952
Child Protection,1,200,37.510872,127.026973
Life Security,4,200,37.516772,127.027246
Life Security,5,200,37.506608,127.02627
Child Protection,4,200,37.509341,127.026334
Life Security,4,200,37.514816,127.027049
Life Security,1,41,37.514789,127.026901
Child Protection,3,200,37.517255,127.048211
Life Security,3,200,37.512094,127.052064
Life Security,3,200,37.515637,127.044335
Life Security,4,200,37.513324,127.043699
Life Security,3,200,37.516604,127.045979
Life Security,5,200,37.50903,127.054423
Life Security,4,200,37.510396,127.053065
Life Security,1,41,37.518041,127.041961
Life Security,3,200,37.519472,127.041375
Child Protection,1,41,37.518549,127.044849
Life Security,4,200,37.522968,127.04949
Life Security,1,41,37.523364,127.053993
Life Security,1,41,37.523787,127.05088
Life Security,1,41,37.523098,127.052323
Life Security,1,41,37.520205,127.050383
Life Security,5,200,37.521651,127.050542
Life Security,1,41,37.522218,127.053416
Life Security,3,200,37.520438,127.055573
Life Security,4,200,37.521013,127.047339
Life Security,5,400,37.526276,127.043468
Life Security,5,200,37.52407,127.040212
Life Security,1,41,37.524458,127.042877
Life Security,1,41,37.524915,127.044417
Life Security,4,200,37.52486,127.045989
Child Protection,1,41,37.527286,127.045668
Life Security,4,200,37.512398,127.032783
Life Security,4,200,37.509608,127.040002
Life Security,5,200,37.519307,127.031745
Life Security,4,200,37.531503,127.037912
Child Protection,4,200,37.529132,127.035532
Life Security,5,200,37.526376,127.031548
Life Security,3,200,37.532734,127.032384
Life Security,4,200,37.526941,127.039982
Life Security,4,200,37.522634,127.029674
Life Security,5,200,37.522603,127.030382
Life Security,4,200,37.522718,127.031342
Life Security,5,200,37.525431,127.029848
Life Security,5,200,37.526896,127.029221
Life Security,5,200,37.526241,127.034622
Traffic Control,1,41,37.516454,127.020782
Traffic Control,1,41,37.515205,127.022642
Traffic Control,1,400,37.512973,127.027904
Child Protection,1,200,37.508887,127.027004
Traffic Control,1,41,37.513842,127.031078
Traffic Control,1,41,37.514254,127.032201
Traffic Control,1,200,37.513946,127.033435
Traffic Control,1,41,37.514723,127.033685
Traffic Control,1,41,37.520688,127.031946
Traffic Control,1,200,37.513196,127.035169
Life Security,3,200,37.482275,127.053412
Child Protection,4,200,37.481835,127.05961
Life Security,4,200,37.477309,127.058422
Life Security,3,200,37.480673,127.058757
Life Security,4,200,37.479797,127.057142
Life Security,3,200,37.477524,127.065706
Life Security,3,200,37.485808,127.054649
Life Security,4,200,37.483979,127.057306
Life Security,4,400,37.478186,127.06022
Life Security,4,200,37.479874,127.059281
Life Security,4,200,37.483668,127.062572
Child Protection,4,200,37.483644,127.061163
Life Security,4,200,37.484505,127.061309
Child Protection,4,200,37.483889,127.059905
Life Security,1,41,37.484573,127.060091
Child Protection,1,41,37.485067,127.058019
Life Security,1,41,37.490296,127.068737
Life Security,4,200,37.487208,127.033646
Life Security,4,200,37.487701,127.034161
Life Security,4,200,37.487332,127.043729
Life Security,4,200,37.488339,127.040201
Life Security,3,200,37.485881,127.106247
Life Security,3,200,37.492329,127.094383
Life Security,3,200,37.492555,127.095676
Life Security,3,200,37.482456,127.094585
Life Security,4,200,37.471849,127.10889
Life Security,3,200,37.466281,127.09495
Life Security,4,200,37.470832,127.093075
Life Security,3,200,37.47401,127.10424
Life Security,4,200,37.471573,127.106589
Life Security,7,200,37.50251,127.042772
Child Protection,4,200,37.474156,127.10927
Life Security,4,200,37.520595,127.038389
Life Security,4,200,37.516864,127.037954
Life Security,4,200,37.517875,127.030325
Life Security,4,200,37.494971,127.044339
Life Security,3,200,37.49131,127.098962
Life Security,4,200,37.473169,127.103052
Life Security,4,200,37.467362,127.100161
Life Security,4,200,37.485049,127.041826
Life Security,3,200,37.493998,127.03699
Child Protection,4,200,37.499213,127.053032
Life Security,3,200,37.512417,127.045866
Life Security,5,200,37.514834,127.049825
Life Security,5,200,37.506834,127.054642
Life Security,4,200,37.510698,127.05118
Life Security,4,200,37.506172,127.048795
Life Security,4,200,37.515043,127.048559
Life Security,4,200,37.510775,127.050496
Child Protection,5,200,37.506813,127.051129
Life Security,3,200,37.512192,127.045172
Child Protection,3,200,37.51336,127.046499
Life Security,5,400,37.513642,127.049683
Life Security,1,200,37.511745,127.051146
Life Security,3,400,37.514253,127.043357
Life Security,4,400,37.514034,127.043863
Life Security,1,200,37.512527,127.048528
Life Security,4,200,37.513456,127.043158
Life Security,3,200,37.511267,127.050696
Life Security,5,200,37.511337,127.052894
Life Security,4,200,37.506334,127.052512
Life Security,4,200,37.508792,127.052623
Life Security,3,200,37.509643,127.053363
Life Security,4,200,37.509553,127.053825
Life Security,5,200,37.521752,127.037519
Life Security,5,200,37.520832,127.036703
Child Protection,4,200,37.517116,127.037389
Life Security,4,200,37.509634,127.037864
Life Security,4,200,37.519595,127.039426
Child Protection,5,200,37.511502,127.034968
Life Security,4,400,37.511047,127.03386
Life Security,4,400,37.518793,127.029723
Life Security,5,400,37.517936,127.039257
Life Security,5,400,37.512402,127.032526
Life Security,5,400,37.510722,127.042715
Life Security,4,400,37.516676,127.033042
Life Security,5,200,37.518376,127.030809
Life Security,4,200,37.513089,127.032823
Life Security,4,200,37.518192,127.036907
Life Security,3,200,37.508407,127.034517
Child Protection,4,200,37.51198,127.041444
Life Security,3,200,37.508758,127.034681
Life Security,4,200,37.496631,127.061022
Life Security,2,400,37.496146,127.062303
Life Security,3,200,37.489225,127.058086
Life Security,3,200,37.489642,127.05946
Traffic Control,2,41,37.516991,127.041041
Traffic Control,1,400,37.509521,127.037404
Traffic Control,1,200,37.520968,127.032847
Traffic Control,1,200,37.516539,127.038589
Child Protection,1,41,37.511677,127.035661
Traffic Control,1,200,37.519741,127.034857
Traffic Control,1,41,37.510485,127.037001
Traffic Control,1,200,37.513244,127.035633
Traffic Control,1,200,37.520258,127.03691
Traffic Control,1,200,37.516252,127.034539
Traffic Control,1,200,37.510996,127.035247
Traffic Control,1,200,37.511032,127.033854
Traffic Control,1,41,37.493808,127.061238
Traffic Control,1,41,37.493189,127.059897
Traffic Control,1,41,37.492169,127.057685
Child Protection,1,41,37.498307,127.060983
Traffic Control,1,41,37.496793,127.055006
Traffic Control,1,200,37.497311,127.056572
Traffic Control,1,200,37.49835,127.059784
Traffic Control,1,200,37.495778,127.059228
Life Security,4,200,37.504326,127.056214
Child Protection,4,200,37.486488,127.037986
Life Security,4,200,37.485448,127.037499
Child Protection,3,200,37.489606,127.041427
Life Security,4,400,37.486712,127.044209
Life Security,3,400,37.485714,127.037896
Life Security,4,400,37.489048,127.049325
Life Security,4,400,37.486077,127.043715
Life Security,3,200,37.486747,127.038249
Life Security,4,200,37.48724,127.0455
Life Security,4,200,37.489324,127.0328
Life Security,4,200,37.484815,127.042337
Child Protection,1,41,37.492307,127.054546
Child Protection,1,200,37.484815,127.044665
Life Security,4,200,37.483138,127.044815
Life Security,4,200,37.483053,127.046596
Life Security,4,200,37.485147,127.046242
Life Security,3,200,37.48261,127.042658
Life Security,1,200,37.482559,127.04474
Life Security,1,200,37.48324,127.045856
Life Security,1,200,37.483181,127.04754
Life Security,1,200,37.4845,127.0446
Life Security,3,200,37.474315,127.048732
Life Security,5,200,37.527345,127.051534
Life Security,5,200,37.512506,127.022983
Life Security,4,200,37.516103,127.023365
Life Security,4,200,37.512731,127.033945
Child Protection,4,200,37.510165,127.039566
Life Security,4,200,37.522288,127.043046
Life Security,4,200,37.520441,127.02436
Life Security,3,200,37.514353,127.042819
Life Security,5,200,37.516443,127.061382
Child Protection,4,200,37.479489,127.050852
Life Security,3,200,37.469534,127.090934
Life Security,5,200,37.486629,127.043372
Life Security,4,200,37.485785,127.04157
Life Security,3,200,37.492384,127.038624
Traffic Control,1,41,37.485196,127.037645
Child Protection,1,200,37.521495,127.023607
Child Protection,1,200,37.520184,127.023637
Traffic Control,1,200,37.463275,127.103711
Traffic Control,1,200,37.503555,127.051529
Traffic Control,1,200,37.503007,127.047533
Traffic Control,1,41,37.503721,127.047255
Child Protection,2,41,37.500339,127.050763
Traffic Control,1,200,37.496749,127.045334
Traffic Control,1,200,37.493449,127.040587
Traffic Control,1,200,37.501594,127.044351
Traffic Control,1,400,37.500955,127.041796
Traffic Control,1,41,37.502841,127.049645
Traffic Control,1,41,37.498556,127.050786
Traffic Control,1,200,37.495864,127.047138
Child Protection,1,400,37.494442,127.044704
Life Security,5,200,37.51254,127.050215
Life Security,4,200,37.492902,127.086637
Life Security,1,200,37.490745,127.084138
Life Security,4,200,37.493833,127.084173
Life Security,4,200,37.490686,127.088251
Child Protection,4,200,37.493315,127.087028
Child Protection,1,41,37.492327,127.088066
Life Security,4,200,37.495172,127.085515
Life Security,4,200,37.492262,127.082975
Life Security,3,200,37.491874,127.08822
Child Protection,5,200,37.490774,127.083718
Child Protection,4,200,37.493149,127.085906
Life Security,1,41,37.490001,127.085885
Child Protection,3,200,37.491947,127.082904
Life Security,3,200,37.491965,127.085998
Life Security,4,200,37.490792,127.081281
Life Security,5,200,37.492472,127.085493
Life Security,4,200,37.489579,127.082346
Life Security,4,200,37.494514,127.083412
Life Security,3,200,37.495624,127.085769
Life Security,5,400,37.491096,127.084579
Child Protection,4,41,37.490528,127.061509
Life Security,4,41,37.491771,127.064288
Life Security,3,200,37.494831,127.061906
Life Security,4,400,37.494153,127.060356
Life Security,3,200,37.493009,127.057893
Life Security,4,400,37.488597,127.105811
Life Security,3,400,37.486889,127.102682
Life Security,4,200,37.517013,127.020145
Life Security,1,200,37.519166,127.019468
Life Security,4,200,37.521063,127.01943
Life Security,5,200,37.518106,127.021442
Life Security,1,41,37.520574,127.02126
Life Security,5,400,37.520446,127.022139
Life Security,1,41,37.521689,127.020251
Life Security,1,41,37.521518,127.021313
Child Protection,1,200,37.521659,127.021946
Life Security,4,400,37.518659,127.023963
Life Security,5,200,37.520106,127.023674
Child Protection,5,400,37.523156,127.025358
Child Protection,1,41,37.523858,127.02472
Child Protection,4,400,37.523181,127.023305
Life Security,3,200,37.501915,127.051354
Life Security,1,41,37.503106,127.052647
Life Security,1,41,37.502144,127.053419
Life Security,4,200,37.502728,127.055377
Life Security,1,41,37.502264,127.053945
Life Security,1,41,37.502249,127.058376
Life Security,1,41,37.501542,127.058269
Life Security,4,200,37.500674,127.057668
Child Protection,4,400,37.501506,127.056273
Life Security,4,200,37.50114,127.055152
Life Security,1,41,37.500323,127.054487
Life Security,1,41,37.500417,127.05291
Child Protection,1,41,37.499821,127.055125
Life Security,4,200,37.49997,127.055672
Life Security,5,200,37.499539,127.058198
Life Security,5,400,37.499953,127.059776
Life Security,1,41,37.499259,127.057582
Life Security,1,200,37.499218,127.058226
Child Protection,4,200,37.498642,127.055667
Life Security,4,200,37.497995,127.056059
Life Security,1,200,37.503421,127.055399
Life Security,1,200,37.501149,127.058811
Child Protection,3,200,37.494256,127.053731
Child Protection,3,200,37.484219,127.043839
